District,Ad #,FM Numbers,BDI,Short Description,Number of Contracts Awarded,Contract Threshold,Major Work Types,Minor Work Types,Under Utilized Work Groups,Contract Amount/Limit,Advertisement Date,Response Deadline Date/Time (*System Time Zone),Shortlist Selection Date,Final Selection Date,Selection Method,Standard Notes
1,23126," 44421016201 
 44421116201 
 44514416201",No,SR 683 (US 301) FROM S OF 25TH CT E TO S OF 13TH AVE E,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,683,837.00 ",9/26/2022,10/17/2022 17:00,11/1/2022,11/15/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
1,23128,44634716201,Yes,I-4 (SR 400) FROM HILLSBOROUGH COUNTY LINE TO GALLOWAY RD,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,,,"$1,209,903.00 ",11/14/2022,12/20/2022 17:00,1/3/2023,1/17/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 7  
 Standard Note 10 "
1,23129,41450676201,No,SR 70 FROM LORRAINE ROAD TO BOURNSIDE BLVD,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,358,893.00 ",2/20/2023,3/6/2023 17:00,3/28/2023,4/11/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
1,23130,43318316206,No,CEI (INSPECTION) BARTOW OPERATIONS CENTER-CSC,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00 ",1/30/2023,2/13/2023 17:00,3/7/2023,3/21/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
1,23133," 43826213201 
 43826213202 
 45135813201 
 45135813202",No,SR 45 (US 41) TAMIAMI TRAIL FROM CONWAY BLVD TO MIDWAY BLVD,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$1,079,891.00 ",1/9/2023,1/24/2023 17:00,2/14/2023,3/14/2023, Letter of Response and Interview, Standard Note 8 
1,23136," 45033412201 
 45033413201",No,SR 70 FROM CR 721 S TO CR 599/128 AVE,3,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$3,998,000.00 ",9/26/2022,10/17/2022 17:00,11/1/2022,12/6/2022, Letter of Response and Oral Presentation, Standard Note 8 
1,23137,44985112201,No,SR 70 FROM LONESOME ISLAND RD TO SOUTHERN LEG OF CR 721,3,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,999,000.00 ",9/26/2022,10/17/2022 17:00,11/1/2022,12/6/2022, Letter of Response and Oral Presentation, Standard Note 8 
1,23140,44353316201,No,PRE-EVENT TS/HURRICANE CEI,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00 ",1/3/2023,1/17/2023 17:00,2/7/2023,2/21/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
1,23143,44901516201,No,US 41 OVER CALOOSAHATCHEE RIVER BRIDGE #120002,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.5.1-Major Bridge CEI - Concrete",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,733,256.00 ",12/5/2022,12/19/2022 17:00,1/10/2023,1/17/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10  
 Standard Note 13"
1,23144," 43488626201 
 43488636201",No,SR 700 (US 98) PEACE RIVER-FT MEADE AT BR # 0064,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.5.1-Major Bridge CEI - Concrete",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,379,626.00 ",10/31/2022,11/15/2022 17:00,12/6/2022,12/20/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10  
 Standard Note 13"
1,23145,43667316201,No,SR 35 (US 98) FROM N OF WEST SOCRUM LOOP RD TO S OF CR 54,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$10,270,000.00 ",11/7/2022,11/22/2022 17:00,12/20/2022,1/10/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10  
 Standard Note 13"
1,23146,45164912201,No,SR 70 FROM DESOTO COUNTY LINE TO JEFFERSON AVE,3,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$2,750,000.00 ",9/26/2022,10/17/2022 17:00,11/1/2022,12/6/2022, Letter of Response and Oral Presentation, Standard Note 8 
1,23147,,No,LANDSCAPE ARCHITECTURAL CONTINUING SERVICES,1,Technically Prequalified & Unlimited Audit required, 15.0-Landscape Architect, 3.1-Minor Highway Design,,"$5,000,000.00 ",1/30/2023,2/13/2023 17:00,2/28/2023,3/28/2023, Letter of Response and Interview, Standard Note 9 
1,24101,19838213213,No,STRUCTURES DESIGN CONSULTANT,1,Technically Prequalified & Unlimited Audit required," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 5.1-Conventional Bridge Inspection"," 3.1-Minor Highway Design 
 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization",,"$1,500,000.00 ",3/27/2023,4/10/2023 17:00,5/2/2023,5/30/2023, Letter of Response and Interview, Standard Note 9 
1,24103," 45126813201 
 45126813202 
 45128513201 
 45128513202",No,SR 62 FROM MANATEE COUNTY LINE TO E OF ALLAPATTAH RD,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping",,"$2,208,976.00 ",4/3/2023,4/17/2023 17:00,5/2/2023,5/30/2023, Letter of Response and Interview, Standard Note 9 
1,24104,19823113214,No,ENVIRONMENTAL PERMIT DESIGN SUPPORT CONSULTANT,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 2.0-Proj Development & Environmental (PD&E) Studies 
 3.2-Major Highway Design 
 4.1.2-Minor Bridge Design 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies",,"$1,500,000.00 ",8/21/2023,9/5/2023 17:00,9/26/2023,10/24/2023, Letter of Response and Interview, Standard Note 9 
1,24106,44668112201,No,BARRIER ISLAND COMPLETE STREETS IMPROVEMENTS,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 6.1-Traffic Engineering Studies 
 13.5-Subarea/Corridor Planning",,"$2,000,000.00 ",7/10/2023,7/24/2023 17:00,8/15/2023,9/12/2023, Letter of Response and Oral Presentation, Standard Note 9 
1,24107,19602266201,No,SR 64 AT LORRAINE ROAD,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$871,079.00 ",6/19/2023,7/3/2023 17:00,7/25/2023,8/8/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
1,24111," 45101913201 
 45101913202 
 45102013201 
 45102013202",No,SR 64 FROM KIBLER RANCH RD TO WINGATE RD,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying",,"$1,974,442.00 ",6/19/2023,7/3/2023 17:00,7/25/2023,8/29/2023, Letter of Response and Oral Presentation, Standard Note 9 
1,24116," 44742813201 
 44742813202 
 45087413201 
 45087413202 
 45087513201 
 45087513202 
 45087913201 
 45087913202",No,SR 600 (US-92/US-17) FROM W OF RAMONA AVE TO 3RD ST,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping",,"$6,895,238.00 ",3/13/2023,3/27/2023 17:00,4/18/2023,5/16/2023, Letter of Response and Oral Presentation, Standard Note 9 
1,24124," 45088813201 
 45088813202 
 45126213201 
 45126213202",No,SR25 (US27) FROM S OF SR544 (SCENIC HIGHWAY) TO N OF BLUE,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying",,"$4,693,978.00 ",3/13/2023,3/27/2023 17:00,4/11/2023,5/9/2023, Letter of Response and Oral Presentation, Standard Note 9 
1,24125,43944116201,Yes,COUNTYLINE RD OVER PEACE RIVER BRIDGE #160101,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.4-Minor Bridge & Miscellaneous Structures CEI",,,"$841,772.00 ",9/25/2023,10/9/2023 17:00,10/24/2023,11/7/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 7  
 Standard Note 10 "
1,24127,44044416201,No,SR 33 (LAKELAND HILLS BLVD) FROM PARKVIEW PLACE TO GRANADA S,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,469,732.00 ",1/22/2024,2/5/2024 17:00,2/20/2024,3/5/2024, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
1,24136," 19839126203 
 40458026203",No,MATERIALS & TESTING CEI SUPPORT-CONTINUING SERVICES CONTRACT,1,Technically Prequalified & Unlimited Audit required," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.3-Highway Materials Testing 
 9.4.1-Standard Foundation Studies 
 10.3-Construction Materials Inspection"," 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00 ",4/24/2023,5/8/2023 17:00,5/23/2023,6/20/2023, Letter of Response and Abbreviated Technical Proposal," Standard Note 8  
 Standard Note 10  
 Standard Note 11  
 Standard Note 12"
1,24140,44728713201,No,SR 25/SR 80 (US 27) FROM INDUSTRIAL CANAL TO SAGAMORE,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying",,"$2,000,000.00 ",4/17/2023,5/1/2023 17:00,5/23/2023,6/20/2023, Letter of Response and Interview, Standard Note 9 
1,24143,20207511209,No,SYSTEMS PLANNING TRAVEL FORECASTING MODELING,1,Technically Prequalified & Unlimited Audit required," 13.4-Systems Planning 
 13.5-Subarea/Corridor Planning"," 6.1-Traffic Engineering Studies 
 6.2-Traffic Signal Timing 
 6.3.1-Intelligent Trans Systems Analysis & Design 
 13.6-Land Planning/Engineering 
 13.7-Transportation Statistics",,"$1,500,000.00 ",6/26/2023,7/11/2023 17:00,8/1/2023,8/29/2023, Letter of Response and Interview, Standard Note 9 
1,C5171,,No,US27 ALT US98 TO POLK CO LINE,1,Technically Prequalified & Unlimited Audit required, 13.5-Subarea/Corridor Planning,,,$0.00 ,4/9/1993,4/19/1993 17:00,5/17/1993,8/24/1993, No Value (PSI to PDA conversion) ,
2,23218,20817733201,Yes,SR15 (US17) from the Putnam County Line to Sweat Road - BDI,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$925,891.00 ",8/15/2022,8/29/2022 17:00,9/19/2022,10/24/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
2,23219,21056533201,Yes,SR 115 3R Project from Duval C/L to US 1 - BDI,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$898,902.00 ",8/15/2022,8/29/2022 17:00,9/19/2022,10/24/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
2,23222,20913763201,No,SR5 (US17) (Main ST) N from Trout River to N of SR104,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$852,873.00 ",8/15/2022,8/29/2022 17:00,9/19/2022,10/24/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
2,23223,21022383201,No,SR 13 from SR 16 to Rafter Tail Lane,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$948,613.00 ",8/15/2022,8/29/2022 17:00,9/19/2022,10/24/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
2,23224," 20983123201 
 43431823201",Yes,SR51 (US129) from I-75 (SR93) to South of SR25 (US41) - BDI,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$566,049.00 ",8/29/2022,9/12/2022 17:00,9/26/2022,10/31/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
2,23226,,No,SR15 (US17) from Oak Street to Black Creek,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$1,961,315.00 ",8/29/2022,9/12/2022 17:00,9/26/2022,11/7/2022, Letter of Response and Interview, Standard Note 8 
2,23233,44706013201,No,Anastasia State Park from Pope Road to Red Cox Drive,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$599,692.00 ",10/17/2022,10/31/2022 17:00,11/14/2022,12/19/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
2,23242,,No,I-95(SR9) FROM SOUTH OF SR202(JT BUTLER) TO ATLANTIC BLVD,1,Technically Prequalified & Unlimited Audit required, 9.3-Highway Materials Testing," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing",,"$5,661,423.00 ",1/9/2023,1/23/2023 17:00,2/6/2023,3/13/2023, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
2,23247," 43584416201 
 43584446201 
 43761416201 
 43761416601 
 44564316201",No,I-295 INTERCHANGE - ADD LANES AT SR 228 / NORMANDY BLVD,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$3,273,704.00 ",9/19/2022,10/10/2022 17:00,10/24/2022,11/21/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
2,23248,,No,SR115 (Southside Blvd) at Deerwood Park,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,338,812.00 ",1/23/2023,2/6/2023 17:00,2/20/2023,3/27/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 10 "
2,23249,,Yes,SR15(US17) FROM NORTH BOUNDARY ROAD TO SR207 - BDI,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection",,"$867,134.00 ",12/19/2022,1/6/2023 17:00,1/23/2023,2/13/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 7  
 Standard Note 10 "
2,23250," 43993716201 
 43993816201",No,CR361 OVER SPRING WARRIOR CREEK BRIDGE NO380037,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection",,"$1,835,453.00 ",10/17/2022,10/31/2022 17:00,11/21/2022,12/19/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
2,23251," 44534216201 
 44718016201",No,SR 224 Resurfacing (SR 21 to US 17),2,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection",,"$1,249,095.00 ",10/24/2022,11/7/2022 17:00,12/5/2022,12/5/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
2,23252,,No,SR55(US19) FROM: GILCHRIST CL TO: NE 8TH STREET,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,180,996.00 ",9/26/2022,10/17/2022 17:00,11/7/2022,11/28/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
2,23255," 44348716201 
 44535516201 
 44543216201 
 44543316201 
 44703716201",No,SR47 FROM US129 TO CR232,2,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection",,"$3,500,574.00 ",11/14/2022,12/1/2022 17:00,,1/17/2023, Expanded LOR and Oral Presentations," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
