Department of General Services - Procurement Division (DGS-PD),,,,,,,,,,,,,
STATE CONTRACTS INDEX LISTING,,,,,,,,,,,,,
The State Contracts Index Listing identifies current Leveraged Procurement Agreements (LPAs). Questions? Contact the Contract Administrator or PDWebmaster@dgs.ca.gov,,,,,,,,,,,,,
"To access individual LPA contract documents and User Instructions, click the direct link in the next cell or go to Cal eProcure (Contract Search): ",,,,,,Cal eProcure (State Contracts Search),,,,,,,
Blank cells indicate no applicable data. Click on contract type acronym in table for definition.,,,,,,,,,,,,,
LAST UPDATED: 12/15/2022,,,,,,,,,,,,,
"Contract Type  
(DGS use only)",Commodity/Service Description,Contract Number,Contractor Name,Contract Start Date,Contract End Date,Extensions Possible (Yes/No),"Mandatory 
(Yes/No)","State Users (Statewide/
Dept Use Only)",Open to Local Agencies  (Yes/No),State Contract Administrator,Phone,"Environmentally Preferable Purchasing
(EPP) Compliant
(Click link to access Buying Green website)","Rebid Information
(Click link to access solicitation)"
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 2 Areas 2 and 5 Only",1-22-56-20-02B,"Hat Creek Construction & Materials, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 2 Areas 7 and 8 Only",1-22-56-20-02E,"Sierra Cascade Aggregate & Asphalt Products, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 3 Area 1 Only",1-22-56-20-03B,Blain Stumpf Trucking,1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 3 Areas 2, 3 and 4 Only",1-22-56-20-03C,"Dan Palmer Trucking, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 3 Areas 5, 6 and 7 Only",1-22-56-20-03A,Blain Stumpf Trucking,1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 4 Areas 1-8",1-22-56-20-04A,"R and G Trucking, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 4 Areas 9-16",1-22-56-20-04B,"R and G Trucking, Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 6 Area 3 Only",1-22-56-20-06A,Granite Construction Co.,1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 6 Areas 1, 2, 4, 5, 6 and  7 Only",1-22-56-20-06B,"Papich Construction Co., Inc.",1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 9 Area 23 Only",1-22-56-20-09A,Granite Construction Co.,1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Asphalt Concrete, Plant Mix, Delivered 
District 9 Areas 1-7, 19, 22, 24, 25 and 26 Only",1-22-56-20-09B,Granite Construction Co.,1/6/2022,1/5/2025,Yes,No,DOT only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Attenuator, Truck Mounted",1-19-97-06,"Energy Absorption Systems, Inc",8/12/2019,8/11/2024,Yes,Yes,Statewide,Yes,Sher Khang,(279) 946-8335,EPP,
SC,"Auto Parts, FCA/MOPAR OEM",1-22-29-06,H&H Auto Parts Wholesale,3/18/2022,3/17/2025,Yes,Yes,CHP Only,Yes,Erica Seghesio-Groves,(279) 946-8022,,
SC,"Auto Parts, Ford OEM",1-21-29-04,Ron DuPratt Ford,9/5/2021,9/4/2024,Yes,Yes,"CHP, CDCR and DSH Only",Yes,Erica Seghesio-Groves,(279) 946-8022,,
SC,"Auto Parts, GM OEM",1-21-29-05,H&H Auto Parts Wholesale,9/15/2021,9/14/2024,Yes,Yes,CHP and DSH Only,Yes,Erica Seghesio-Groves,(279) 946-8022,,
SC,"Bags, Paper Grocery",1-20-81-03,"San Joaquin Distributors, Inc.",6/23/2020,6/22/2024,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,EPP,
SC,"Bags, Plastic - Caltrans Trash Bags",1-21-81-05B,D&J International,12/29/2021,12/28/2024,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,EPP,
SC,"Bags, Plastic - Trash Can Liners",1-21-81-05A,D&J International,12/20/2021,12/19/2024,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,EPP,
SC,Body Armor,1-18-84-07,Safariland,7/23/2018,7/20/2023,No,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,EPP,
SC,"Cones, Traffic",1-19-97-05,Sierra Safety Company,11/21/2019,11/20/2023,Yes,Yes,Statewide,Yes,Sher Khang,(279) 946-8335,,
SC,Consumable DNA Kits and Reagent Supplies,1-20-65-05,Life Technologies Corporation,8/1/2020,7/31/2023,Yes,Yes,DOJ only,No,Robb Parkison,(279) 946-8302,,
SC,Dry Ice Nuggets,1-21-68-46,"Queen of Safety Supply, Co., LLC",3/1/2021,2/28/2024,Yes,No,Nationwide,Yes,Lynne Edison,(279) 946-8417,,
SC,"Electric Vehicle Supply Equipment (EVSE)
Basic Level 1",1-18-61-15A,PLEMCo,3/27/2019,12/19/2023,Yes,Yes,Statewide,Yes,Sher Khang,(279) 946-8335,,
SC,"Electric Vehicle Supply Equipment (EVSE), Basic Level 2, Smart Level 2 Low Power, Smart Level 2 High Power, DCFC Low Power, DCFC Medium Power",1-18-61-15B,"Broadband Telecom Power, Inc.",12/20/2018,12/19/2022,Yes,Yes,Statewide,Yes,Sher Khang,(279) 946-8335,,
SC,"Electric Vehicle Supply Equipment (EVSE), DCFC High Power",1-18-61-15C,EVStructure,12/20/2018,12/19/2023,No,Yes,Statewide,Yes,Sher Khang,(279) 946-8335,,
SC,Emergency Warning Parts - Whelen OEM ,1-22-25-90,Wattco Equipment Inc.,5/11/2022,5/10/2025,Yes,Yes,CHP Only,No,Frank Martin,(279) 946-8035,,
SC,"Enforcement Vehicles, Police Pursuit - Dodge Charger V6 AWD",1-22-23-14A,Elk Grove Auto Group,5/11/2022,5/10/2025,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,,
SC,"Enforcement Vehicles, Police Pursuit - Chevy Tahoe V8 AWD 4x4 & Chevy Tahoe V8 RWD 4x2",1-22-23-14B,Winner Chevrolet,5/11/2022,5/10/2025,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,,
SC,"Enforcement Vehicles, Police Pursuit - Ford Explorer V6 AWD & Ford Explorer V6 AWD - HEV",1-22-23-14C,Folsom Lake Ford,5/11/2022,5/10/2025,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,,
SC,"Envelopes, Recycled Paper",1-21-75-04,Response Envelope,3/17/2021,3/16/2024,Yes,Yes,OSP Only,No,Willie Orphe,(279) 946-8393,EPP,
SC,"Feeds, Juvenile Fish, Additives and Medications",1-19-87-19,Bio-Oregon,1/14/2020,1/13/2023,Yes,Yes,CDFW,Yes,Sher Khang,(279) 946-8335,,
SC,"Feeds, Salmon, Steelhead, Trout (Cold Water)",1-19-87-17A,Bio-Oregon,1/26/2020,1/25/2024,Yes,Yes,CDFW,Yes,Sher Khang,(279) 946-8335,,
SC,"Feeds, Salmon, Steelhead, Trout (Cold Water)",1-19-87-17B,EWOS Canada LTD,1/26/2020,1/25/2024,Yes,Yes,CDFW,Yes,Sher Khang,(279) 946-8335,EPP,
SC,"Feeds, Salmon, Steelhead, Trout (Cold Water)",1-19-87-17C,Rangen Inc.,1/26/2020,1/25/2024,Yes,Yes,CDFW,Yes,Sher Khang,(279) 946-8335,,
SC,"Feeds, Salmon, Steelhead, Trout (Cold Water)",1-19-87-17D,Skretting USA,1/26/2020,1/25/2024,Yes,Yes,CDFW,Yes,Sher Khang,(279) 946-8335,,
SC,"Fire Retardant, Long Term",1-21-68-43,ICL Performance Products,7/1/2021,6/30/2024,Yes,Yes,CAL FIRE only,No,Robb Parkison,(279) 946-8302,,
SC,"Food Service Supplies, Disposable",,,,,,,,,Willie Orphe,(279) 946-8393,,
SC,"Forklifts - Electric, Forklifts - Electric with Roll Clamp, Pallet Truck - Electric (Walkie) and Pallet Jacks",1-19-39-01A,"RKU Distributing, Inc.",6/21/2019,6/20/2023,No,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,,
SC,Forklifts – LPG,1-19-39-01B,"East Bay Clarklift, Inc. dba. Cromer Material Handling",6/21/2019,6/20/2023,No,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,,
SC,"Forklifts, Electric (Narrow Aisle Reach)",1-19-39-01C,Southern California Material Handling,6/21/2019,6/20/2023,No,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,,
SC,"Fuel, Bulk Unleaded Gasoline, Diesel #2, Red Dye Diesel #2, E85, and Biodiesel (B5)",1-18-91-02A,"Pinnacle Petroleum, Inc.",4/30/2018,4/29/2023,No,Yes,Statewide,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Fuel, Bulk Unleaded Gasoline, Diesel #2, Red Dye Diesel #2, E85, and Biodiesel (B5)",1-18-91-02B,"AAA Oil, Inc. dba California Fuels & Lubricants",4/30/2018,4/29/2023,No,Yes,Statewide,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Fuel, Renewable Diesel/Biodiesel Blend (RDB5)",1-18-91-31B,"AAA Oil, Inc. dba California Fuels & Lubricants",5/3/2018,5/2/2023,No,Yes,Statewide,Yes,Amanda Lewis,(279) 946-7876,EPP,
SC,"Fuel, Renewable Diesel/Biodiesel Blend (RDB5)",1-19-91-31C,Hunt and Sons,5/1/2019,4/30/2023,No,Yes,Statewide,Yes,Amanda Lewis,(279) 946-7876,EPP,
SC,"Fusees, Red (without spikes)",1-20-13-01,Standard Fusee Corp,9/17/2020,9/16/2024,Yes,Yes,Statewide,Yes,Willie Orphe,(279) 946-8393,,
SC,"Gas, Liquefied Petroleum Gas (LPG) District 5 for Standard Delivery Locations",1-22-68-19C,Amerigas Propane L.P.,9/30/2022,9/29/2025,Yes,Yes,Statewide,Yes,Sallianne Salinas,(279) 946-8315,,
SC,"Gas, Liquefied Petroleum Gas (LPG) Districts 3, 4, 7, 10, 11, & 12 for Standard Delivery Locations",1-22-68-19B,Suburban Propane LP,9/30/2022,9/29/2025,Yes,Yes,Statewide,Yes,Sallianne Salinas,(279) 946-8315,,
SC,"Gas, Liquefied Petroleum Gas (LPG) Districts 1, 2, 6, 8, & 9 for Standard Delivery Locations and Districts 2, 3, 6, 8, 10, & 12 for Special Delivery Locations",1-22-68-19A,Ferrellgas Propane L.P,9/30/2022,9/29/2025,Yes,Yes,Statewide,Yes,Sallianne Salinas,(279) 946-8315,,
SC,"Gases, Specialty & Compressed (CARB)",1-18-68-09,Airgas USA LLC,9/9/2018,9/8/2023,Yes,Yes,CARB only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Gases, Welding, Industrial, & Medical",1-20-68-01A,Airgas USA LLC,10/27/2020,10/26/2024,Yes,Yes,Statewide,Yes,Sallianne Salinas,(279) 946-8315,,
SC,"Gases, Welding, Industrial, & Medical",1-20-68-01B,Harris Industrial Gases,10/27/2020,10/26/2023,Yes,Yes,Statewide,Yes,Sallianne Salinas,(279) 946-8315,,
SC,Glass Spheres (Beads),1-22-80-01,"Potters Industries, LLC",1/19/2022,1/18/2025,Yes,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,,
SC,"Graders, Six (6) Wheel, Front Wheel and Articulated Steer, AWD Motor",1-22-23-54,"Pape Machinery, Inc.",8/31/2022,8/30/2025,Yes,DOT only,Statewide,Yes,Frank Martin,(279) 946-8035,,
SC,Guardrail and End Treatment Parts (Barrier Systems Inc.),1-21-97-37C,Statewide Traffic Safety and Signs,8/28/2021,8/27/2024,Yes,Yes,DOT only,No,Sallianne Salinas,(279) 946-8315,EPP,
SC,Guardrail and End Treatment Parts (Trinity Highway),1-21-97-37A,Trinity Highway Products,8/28/2021,8/27/2024,Yes,Yes,DOT only,No,Sallianne Salinas,(279) 946-8315,EPP,
SC,"Heavy Equipment, 3CY and 6CY Sander Body with Anti-Ice, Directional Roll-Off",1-22-23-51,C-TEC,2/9/2022,2/8/2024,Yes,Yes,DOT only,Yes,Sarah Samaan,(279) 946-8324,,
SC,"Heavy Equipment, Bridge Repair Trucks",1-20-23-49,Utility Crane and Equipment Co.,6/8/2020,6/7/2024,Yes,DOT only,Statewide,Yes,Lynne Edison,(279) 946-8417,,
SC,"Heavy Equipment, Brush Chippers, Drum, Trailer Mounted, Diesel",1-18-23-43,RKU Distributing Inc.,11/1/2018,11/5/2023,No,Yes,CAL FIRE only,Yes,Lynne Edison,(279) 946-8417,,
SC,"Heavy Equipment, Heavy Duty Mechanic's Trucks",1-20-23-48,Transwest Truck Center LLC,6/5/2020,6/4/2023,Yes,Yes,DOT only,Yes,Willie Orphe,(279) 946-8393,,
SC,"Heavy Equipment, Highway Sweepers, Battery Electric",1-21-23-50,Global Environmental Products ,10/7/2021,10/6/2024,Yes,Yes,Caltrans only,Yes,Robb Parkison,(279) 946-8302,,
SC,"Heavy Equipment, Highway Sweepers, CNG and Diesel",1-21-23-36,Municipal Maintenance Equipment ,10/4/2021,10/3/2024,Yes,Yes,Caltrans only,Yes,Robb Parkison,(279) 946-8302,,
SC,"Heavy Equipment, Mechanical Detachable Gooseneck Trailers",1-22-23-38,Cozad Trailer Sales LLC,4/2/2022,4/1/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,,
SC,"Heavy Equipment, Personnel Hoist, Truck-Mounted with Chip Dump Body",1-22-23-52,"Altec Industries, Inc.",4/25/2022,4/24/2025,Yes,DOT only,Statewide,Yes,Steve Funderburk,(279) 946-8352,,
SC,"Helicopters, Airbus H125",1-20-15-20,"Airbus Helicopters, Inc.",5/4/2020,5/3/2025,Yes,CHP Only,Nationwide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"Helicopters, Firefighting",1-18-15-21,Air Methods Corporation,1/24/2018,1/23/2023,Yes,CAL FIRE only,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"Herbicide Brand – Sonar® One, Sonar® PR, Sonar® Q",1-20-68-40,"California Veteran Supply, Inc.",7/24/2020 ,7/23/2024,Yes,Yes,Parks Only,No,Rudolph Jimenez,(279) 946-8312,,
SC,Herbicides and Insecticides,1-21-68-13,"California Veteran Supply, Inc.",3/29/2021,3/28/2024,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,EPP,
SC,"Ink, Printing",1-22-75-62,Pressmans Pride,9/12/2022,9/11/2025,Yes,OSP Only,Statewide,Yes,Amanda Lewis,(279) 946-7876,EPP,
SC,"IT Hardware, 2-in-1 Devices, HP",1-21-70-08C,NWN Corporation,8/1/2021,7/31/2024,Yes,Yes,Statewide,Yes,Sarah Samaan,(279) 946-8324,EPP,
SC,"IT Hardware, 2-in-1 Devices, Lenovo",1-21-70-08F,"Zones, LLC",8/1/2021,7/31/2024,Yes,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,EPP,
SC,"IT Hardware, Enterprise Technology (Arista)",1-19-70-19A,"Enterprise Networking Solutions, Inc.",4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,,
SC,"IT Hardware, Enterprise Technology (Cisco)",1-19-70-19B-1,NWN Corporation,4/8/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"IT Hardware, Enterprise Technology (Cisco)",1-19-70-19B-2,Presidio Networked Solutions Group,4/8/2019,3/31/2024,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,,
SC,"IT Hardware, Enterprise Technology (Commvault)",1-19-70-19C-1,Presidio Networked Solutions Group,4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,,
SC,"IT Hardware, Enterprise Technology (Commvault)",1-19-70-19C-2,"Impex Technologies, Inc.",4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,,
SC,"IT Hardware, Enterprise Technology (Dell/EMC)",1-19-70-19D-1,Technology Integration Group,4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Sarah Samaan,(279) 946-8324,,
SC,"IT Hardware, Enterprise Technology (Dell/EMC)",1-19-70-19D-2,"Ahead, Inc. Dba Kovarus, Inc.",4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Sarah Samaan,(279) 946-8324,,
SC,"IT Hardware, Enterprise Technology (Extreme Networks)",1-19-70-19E-1,EYEP Solutions (SB),4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8301,,
SC,"IT Hardware, Enterprise Technology (Extreme Networks)",1-19-70-19E-2,"Enterprise Networking Solutions, Inc.",4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,,
SC,"IT Hardware, Enterprise Technology (F5)",1-19-70-19F,CDW-Government LLC,4/8/2019,3/31/2024,No,Yes,Statewide,Yes,Erica Seghesio-Groves,(279) 946-8022,,
SC,"IT Hardware, Enterprise Technology (Fortinet)",1-19-70-19G-1,"SLED IT Solutions, Inc. (SB)",4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"IT Hardware, Enterprise Technology (Fortinet)",1-19-70-19G-2,EYEP Solutions (SB),4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"IT Hardware, Enterprise Technology (Fortinet)",1-19-70-19G-3,Golden Star Technology,4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"IT Hardware, Enterprise Technology (HPE)",1-19-70-19H-1,"Entisys Solutions, DBA Entisys360",4/8/2019,3/31/2024,No,Yes,Statewide,Yes,Erica Seghesio-Groves,(279) 946-8022,,
SC,"IT Hardware, Enterprise Technology (HPE)",1-19-70-19H-2,NWN Corporation,4/8/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"IT Hardware, Enterprise Technology (HPE)",1-19-70-19H-3,CDW-Government LLC,4/8/2019,3/31/2024,No,Yes,Statewide,Yes,Erica Seghesio-Groves,(279) 946-8022,,
SC,"IT Hardware, Enterprise Technology (IBM)",1-19-70-19I,Direct Support Systems,4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Sarah Samaan,(279) 946-8324,,
SC,"IT Hardware, Enterprise Technology (Juniper)",1-19-70-19J-1,Castro International Consulting (SB/DVBE),4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"IT Hardware, Enterprise Technology (Juniper)",1-19-70-19J-2,Dynamic Systems,4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"IT Hardware, Enterprise Technology (Juniper)",1-19-70-19J-3,InterVision Systems,4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"IT Hardware, Enterprise Technology (Lenovo)",1-19-70-19K,"Enterprise Networking Solutions, Inc.",4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,,
SC,"IT Hardware, Enterprise Technology (Luminex)",1-19-70-19L,"Entisys Solutions, DBA Entisys360",4/1/2019,3/31/2024,No,Yes,Statewide,Yes,Erica Seghesio-Groves,(279) 946-8022,,
SC,"IT Hardware, Enterprise Technology (NetApp)",1-19-70-19M,"Enterprise Networking Solutions, Inc.",4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,,
SC,"IT Hardware, Enterprise Technology (Nutanix)",1-19-70-19N-1,Roundstone Solutions (SB),4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,,
SC,"IT Hardware, Enterprise Technology (Nutanix)",1-19-70-19N-2,Presidio Networked Solutions Group,4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,,
SC,"IT Hardware, Enterprise Technology (Oracle)",1-19-70-19O,Dynamic Systems,4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,,
SC,"IT Hardware, Enterprise Technology (Palo Alto)",1-19-70-19P,"Enterprise Networking Solutions, Inc.",4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,,
SC,"IT Hardware, Enterprise Technology (Pure Storage)",1-19-70-19Q-1,"HSB Solutions, Inc. (DVBE)",4/8/2019,3/31/2024,Yes,Yes,Statewide,Yes,Sarah Samaan,(279) 946-8324,,
SC,"IT Hardware, Enterprise Technology (Pure Storage)",1-19-70-19Q-2,"NTT America, Inc.",4/8/2019,3/31/2024,Yes,Yes,Statewide,Yes,Sarah Samaan,(279) 946-8324,,
SC,"IT Hardware, Enterprise Technology (Pure Storage)",1-19-70-19Q-3,Teranomic,4/8/2019,3/31/2024,Yes,Yes,Statewide,Yes,Sarah Samaan,(279) 946-8324,,
SC,"IT Hardware, Enterprise Technology (Rubrik)",1-19-70-19R,"Enterprise Networking Solutions, Inc.",4/1/2019,3/31/2024,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,,
SC,"IT Hardware, Enterprise Technology (StorageCraft)",1-19-70-19S,"Entisys Solutions, DBA Entisys360",4/1/2019,3/31/2024,No,Yes,Statewide,Yes,Erica Seghesio-Groves,(279) 946-8022,,
SC,"IT Hardware, PC Goods - HP Inc.:  Desktops, Thin/Zero Desktops, Laptops, Thin Laptops, Chromebooks, & Monitors",1-22-70-30,NWN Corporation,7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Lynne Edison,(279) 946-8417,EPP,
SC,"IT Hardware, PC Goods - Dell:  Desktops, Thin/Zero Desktops, & Thin Laptops",1-22-70-31A,Granite Data Solutions (GDS),7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Rita Seale,(279) 946-8301,EPP,
SC,"IT Hardware, PC Goods - Dell: Chromebooks, & Monitors",1-22-70-31B,"Dell Marketing, L.P.",7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Rita Seale,(279) 946-8301,EPP,
SC,"IT Hardware, PC Goods - Dell: Laptops",1-22-70-31C,"PC Specialists, Inc. dba Technology Integration Group (TIG)",7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Rita Seale,(279) 946-8301,EPP,
SC,"IT Hardware, PC Goods - Lenovo:  Desktops, Thin/Zero Desktops, Laptops, Chromebooks, & Monitors",1-22-70-32,"Office Depot, LLC.",7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,EPP,
SC,"IT Hardware, PC Goods - Apple:  Dekstops, Laptops, & Monitors",1-22-70-33,"Insight Public Sector, Inc.",7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,EPP,
